session,timestamp,file,frame,reward,steps
1,20250802_103223,BTCUSDT-12h-2017-08-17_to_2024-12-31.feather,12h,15456.3974609375,5386
2,20250802_112711,BTCUSDT-15m-2017-08-17_to_2017-08-31.feather,15m,3249.411376953125,1423
3,20250802_121355,BTCUSDT-15m-2017-09-01_to_2017-09-30.feather,15m,6590.43359375,2851
4,20250802_130348,BTCUSDT-15m-2017-10-01_to_2017-10-31.feather,15m,3676.3837890625,2975
5,20250802_135359,BTCUSDT-15m-2017-11-01_to_2017-11-30.feather,15m,2501.435791015625,2879
6,20250802_144404,BTCUSDT-15m-2017-12-01_to_2017-12-31.feather,15m,5860.39794921875,2971
7,20250802_153419,BTCUSDT-15m-2018-01-01_to_2018-01-31.feather,15m,5669.52001953125,2968
8,20250802_162426,BTCUSDT-15m-2018-02-01_to_2018-02-28.feather,15m,3506.40185546875,2552
9,20250802_171353,BTCUSDT-15m-2018-03-01_to_2018-03-31.feather,15m,672.8043823242188,2975
10,20250802_180412,BTCUSDT-15m-2018-04-01_to_2018-04-30.feather,15m,2956.540283203125,2879
11,20250802_185402,BTCUSDT-15m-2018-05-01_to_2018-05-31.feather,15m,1302.46630859375,2975
12,20250802_194338,BTCUSDT-15m-2018-06-01_to_2018-06-30.feather,15m,3033.817626953125,2832
13,20250802_203230,BTCUSDT-15m-2018-07-01_to_2018-07-31.feather,15m,2546.350341796875,2945
14,20250802_212305,BTCUSDT-15m-2018-08-01_to_2018-08-31.feather,15m,2841.828857421875,2975
15,20250802_221334,BTCUSDT-15m-2018-09-01_to_2018-09-30.feather,15m,2953.924072265625,2879
16,20250802_230616,BTCUSDT-15m-2018-10-01_to_2018-10-31.feather,15m,2746.504150390625,2961
17,20250802_235836,BTCUSDT-15m-2018-11-01_to_2018-11-30.feather,15m,2556.439697265625,2851
18,20250803_005033,BTCUSDT-15m-2018-12-01_to_2018-12-31.feather,15m,3447.161376953125,2975
19,20250803_014253,BTCUSDT-15m-2019-01-01_to_2019-01-31.feather,15m,2955.181396484375,2975
20,20250803_023508,BTCUSDT-15m-2019-02-01_to_2019-02-28.feather,15m,2866.71923828125,2687
21,20250803_032447,BTCUSDT-15m-2019-03-01_to_2019-03-31.feather,15m,2904.25244140625,2951
22,20250803_041453,BTCUSDT-15m-2019-04-01_to_2019-04-30.feather,15m,3376.404296875,2879
23,20250803_050446,BTCUSDT-15m-2019-05-01_to_2019-05-31.feather,15m,4414.79296875,2935
24,20250803_055830,BTCUSDT-15m-2019-06-01_to_2019-06-30.feather,15m,4549.5869140625,2875
25,20250803_065052,BTCUSDT-15m-2019-07-01_to_2019-07-31.feather,15m,3647.053466796875,2975
26,20250803_074323,BTCUSDT-15m-2019-08-01_to_2019-08-31.feather,15m,2527.568359375,2943
27,20250803_083506,BTCUSDT-15m-2019-09-01_to_2019-09-30.feather,15m,2554.935302734375,2879
28,20250803_092439,BTCUSDT-15m-2019-10-01_to_2019-10-31.feather,15m,3435.386962890625,2975
29,20250803_101416,BTCUSDT-15m-2019-11-01_to_2019-11-30.feather,15m,3327.593994140625,2862
30,20250803_110400,BTCUSDT-15m-2019-12-01_to_2019-12-31.feather,15m,3101.7421875,2975
31,20250803_115156,BTCUSDT-15m-2020-01-01_to_2020-01-31.feather,15m,3102.89306640625,2975
32,20250803_124202,BTCUSDT-15m-2020-02-01_to_2020-02-29.feather,15m,3439.19384765625,2756
33,20250803_133148,BTCUSDT-15m-2020-03-01_to_2020-03-31.feather,15m,6692.1796875,2967
34,20250803_142159,BTCUSDT-15m-2020-04-01_to_2020-04-30.feather,15m,4036.291015625,2869
35,20250803_151159,BTCUSDT-15m-2020-05-01_to_2020-05-31.feather,15m,3674.576904296875,2975
36,20250803_160208,BTCUSDT-15m-2020-06-01_to_2020-06-30.feather,15m,2195.499267578125,2865
37,20250803_165210,BTCUSDT-15m-2020-07-01_to_2020-07-31.feather,15m,3245.664306640625,2975
38,20250803_174228,BTCUSDT-15m-2020-08-01_to_2020-08-31.feather,15m,2476.761474609375,2975
39,20250803_183241,BTCUSDT-15m-2020-09-01_to_2020-09-30.feather,15m,2849.168701171875,2879
40,20250803_192332,BTCUSDT-15m-2020-10-01_to_2020-10-31.feather,15m,3092.82470703125,2975
41,20250803_201613,BTCUSDT-15m-2020-11-01_to_2020-11-30.feather,15m,3254.06884765625,2875
42,20250803_210821,BTCUSDT-15m-2020-12-01_to_2020-12-31.feather,15m,2894.941650390625,2956
43,20250803_220056,BTCUSDT-15m-2021-01-01_to_2021-01-31.feather,15m,-623.1902465820312,2975
